chemist_id,molecule_id,month,units_sold,revenue_INR
CHEM016,MOL02,2025-01,116,4408
CHEM124,MOL05,2025-06,122,976
CHEM047,MOL05,2025-04,101,808
CHEM008,MOL02,2025-04,134,5092
CHEM029,MOL04,2025-04,21,945
CHEM017,MOL03,2025-06,90,1980
CHEM004,MOL05,2025-06,157,1256
CHEM145,MOL02,2025-06,96,3648
CHEM133,MOL05,2025-06,189,1512
CHEM025,MOL04,2025-06,196,8820
CHEM064,MOL04,2025-03,179,8055
CHEM099,MOL02,2025-05,166,6308
CHEM014,MOL01,2025-06,50,600
CHEM130,MOL04,2025-04,52,2340
CHEM020,MOL04,2025-03,71,3195
CHEM085,MOL03,2025-01,139,3058
CHEM058,MOL05,2025-06,106,848
CHEM104,MOL02,2025-01,127,4826
CHEM114,MOL05,2025-04,32,256
CHEM128,MOL04,2025-03,40,1800
CHEM128,MOL01,2025-01,113,1356
CHEM106,MOL01,2025-05,150,1800
CHEM001,MOL01,2025-05,168,2016
CHEM078,MOL05,2025-05,62,496
CHEM117,MOL03,2025-03,23,506
CHEM058,MOL04,2025-03,153,6885
CHEM122,MOL03,2025-06,125,2750
CHEM030,MOL01,2025-06,66,792
CHEM001,MOL03,2025-03,172,3784
CHEM075,MOL05,2025-05,105,840
CHEM028,MOL01,2025-02,136,1632
CHEM036,MOL04,2025-01,75,3375
CHEM051,MOL02,2025-01,110,4180
CHEM056,MOL04,2025-02,193,8685
CHEM087,MOL01,2025-04,21,252
CHEM032,MOL04,2025-04,178,8010
CHEM130,MOL02,2025-04,11,418
CHEM136,MOL01,2025-05,120,1440
CHEM150,MOL04,2025-05,55,2475
CHEM149,MOL02,2025-06,42,1596
CHEM027,MOL04,2025-06,163,7335
CHEM083,MOL05,2025-04,117,936
CHEM064,MOL03,2025-04,97,2134
CHEM076,MOL04,2025-02,45,2025
CHEM106,MOL05,2025-06,141,1128
CHEM077,MOL05,2025-03,192,1536
CHEM142,MOL02,2025-02,63,2394
CHEM075,MOL03,2025-06,43,946
CHEM046,MOL05,2025-05,187,1496
CHEM083,MOL01,2025-03,153,1836
CHEM123,MOL05,2025-05,180,1440
CHEM107,MOL05,2025-03,118,944
CHEM004,MOL05,2025-01,16,128
CHEM098,MOL02,2025-01,181,6878
CHEM015,MOL02,2025-03,51,1938
CHEM074,MOL03,2025-02,25,550
CHEM076,MOL02,2025-05,18,684
CHEM092,MOL04,2025-01,167,7515
CHEM144,MOL02,2025-06,175,6650
CHEM144,MOL04,2025-02,140,6300
CHEM074,MOL01,2025-04,109,1308
CHEM107,MOL03,2025-05,23,506
CHEM004,MOL03,2025-02,168,3696
CHEM114,MOL02,2025-06,190,7220
CHEM095,MOL05,2025-05,199,1592
CHEM051,MOL02,2025-03,124,4712
CHEM046,MOL01,2025-02,54,648
CHEM132,MOL01,2025-04,20,240
CHEM110,MOL03,2025-05,77,1694
CHEM034,MOL02,2025-05,75,2850
CHEM002,MOL03,2025-04,191,4202
CHEM040,MOL01,2025-02,92,1104
CHEM014,MOL05,2025-06,87,696
CHEM126,MOL05,2025-05,101,808
CHEM019,MOL03,2025-05,66,1452
CHEM048,MOL05,2025-01,139,1112
CHEM041,MOL04,2025-05,147,6615
CHEM104,MOL01,2025-03,66,792
CHEM055,MOL03,2025-03,102,2244
CHEM076,MOL02,2025-05,145,5510
CHEM122,MOL05,2025-06,12,96
CHEM030,MOL03,2025-04,71,1562
CHEM063,MOL01,2025-06,92,1104
CHEM098,MOL01,2025-04,75,900
CHEM139,MOL03,2025-01,142,3124
CHEM096,MOL05,2025-05,124,992
CHEM125,MOL01,2025-03,176,2112
CHEM050,MOL03,2025-05,31,682
CHEM025,MOL02,2025-05,146,5548
CHEM002,MOL01,2025-02,181,2172
CHEM055,MOL04,2025-01,62,2790
CHEM138,MOL04,2025-06,28,1260
CHEM040,MOL01,2025-04,193,2316
CHEM085,MOL01,2025-01,28,336
CHEM014,MOL02,2025-03,152,5776
CHEM019,MOL05,2025-02,76,608
CHEM105,MOL04,2025-04,171,7695
CHEM104,MOL04,2025-03,14,630
CHEM100,MOL01,2025-05,11,132
CHEM017,MOL05,2025-01,189,1512
CHEM019,MOL03,2025-05,37,814
CHEM075,MOL03,2025-05,32,704
CHEM073,MOL04,2025-04,111,4995
CHEM008,MOL04,2025-02,146,6570
CHEM057,MOL02,2025-06,110,4180
CHEM140,MOL03,2025-06,46,1012
CHEM077,MOL03,2025-01,151,3322
CHEM143,MOL02,2025-01,20,760
CHEM002,MOL05,2025-05,110,880
CHEM138,MOL05,2025-01,88,704
CHEM054,MOL03,2025-02,115,2530
CHEM132,MOL02,2025-02,57,2166
CHEM057,MOL05,2025-03,59,472
CHEM030,MOL02,2025-06,155,5890
CHEM014,MOL05,2025-04,175,1400
CHEM141,MOL01,2025-03,181,2172
CHEM018,MOL03,2025-01,60,1320
CHEM149,MOL04,2025-03,101,4545
CHEM033,MOL02,2025-01,82,3116
CHEM018,MOL02,2025-03,134,5092
CHEM116,MOL03,2025-05,178,3916
CHEM079,MOL05,2025-02,154,1232
CHEM146,MOL03,2025-03,119,2618
CHEM044,MOL01,2025-03,73,876
CHEM057,MOL04,2025-03,102,4590
CHEM035,MOL03,2025-04,128,2816
CHEM115,MOL03,2025-03,134,2948
CHEM142,MOL01,2025-02,175,2100
CHEM021,MOL03,2025-02,147,3234
CHEM051,MOL03,2025-06,170,3740
CHEM020,MOL01,2025-01,139,1668
CHEM008,MOL05,2025-05,113,904
CHEM055,MOL01,2025-05,76,912
CHEM140,MOL05,2025-04,177,1416
CHEM039,MOL03,2025-04,67,1474
CHEM075,MOL02,2025-04,138,5244
CHEM131,MOL01,2025-04,103,1236
CHEM129,MOL01,2025-06,71,852
CHEM043,MOL05,2025-02,124,992
CHEM041,MOL02,2025-05,154,5852
CHEM038,MOL04,2025-03,20,900
CHEM057,MOL04,2025-02,26,1170
CHEM068,MOL03,2025-02,20,440
CHEM053,MOL05,2025-03,109,872
CHEM121,MOL04,2025-01,20,900
CHEM083,MOL01,2025-06,143,1716
CHEM071,MOL03,2025-05,149,3278
CHEM146,MOL02,2025-04,177,6726
CHEM097,MOL03,2025-05,177,3894
CHEM020,MOL05,2025-03,106,848
CHEM058,MOL05,2025-04,100,800
CHEM089,MOL04,2025-04,164,7380
CHEM002,MOL05,2025-02,122,976
CHEM043,MOL02,2025-01,141,5358
CHEM072,MOL02,2025-02,57,2166
CHEM041,MOL03,2025-05,193,4246
CHEM031,MOL02,2025-04,94,3572
CHEM030,MOL04,2025-06,132,5940
CHEM123,MOL02,2025-05,51,1938
CHEM106,MOL01,2025-02,21,252
CHEM033,MOL05,2025-05,51,408
CHEM035,MOL05,2025-01,156,1248
CHEM038,MOL01,2025-02,76,912
CHEM047,MOL05,2025-04,163,1304
CHEM145,MOL01,2025-06,196,2352
CHEM073,MOL01,2025-02,124,1488
CHEM121,MOL04,2025-02,66,2970
CHEM106,MOL05,2025-02,159,1272
CHEM047,MOL05,2025-06,140,1120
CHEM068,MOL02,2025-06,185,7030
CHEM088,MOL04,2025-05,161,7245
CHEM018,MOL02,2025-04,108,4104
CHEM034,MOL01,2025-01,61,732
CHEM134,MOL05,2025-06,117,936
CHEM039,MOL05,2025-01,55,440
CHEM122,MOL05,2025-05,19,152
CHEM137,MOL05,2025-01,33,264
CHEM124,MOL02,2025-05,148,5624
CHEM001,MOL04,2025-05,117,5265
CHEM095,MOL01,2025-06,145,1740
CHEM110,MOL02,2025-04,107,4066
CHEM090,MOL05,2025-06,188,1504
CHEM148,MOL01,2025-04,44,528
CHEM066,MOL04,2025-02,31,1395
CHEM073,MOL05,2025-05,114,912
CHEM066,MOL02,2025-01,191,7258
CHEM002,MOL05,2025-05,40,320
CHEM134,MOL01,2025-04,177,2124
CHEM053,MOL03,2025-04,102,2244
CHEM028,MOL02,2025-04,176,6688
CHEM150,MOL03,2025-03,147,3234
CHEM109,MOL05,2025-03,166,1328
CHEM071,MOL04,2025-02,115,5175
CHEM142,MOL05,2025-04,55,440
CHEM095,MOL05,2025-05,133,1064
CHEM065,MOL03,2025-05,98,2156
CHEM102,MOL02,2025-06,40,1520
CHEM059,MOL04,2025-06,51,2295
CHEM026,MOL02,2025-05,112,4256
CHEM087,MOL05,2025-05,188,1504
CHEM014,MOL02,2025-04,172,6536
CHEM002,MOL01,2025-02,130,1560
CHEM112,MOL01,2025-01,77,924
CHEM057,MOL03,2025-01,165,3630
CHEM010,MOL04,2025-04,167,7515
CHEM134,MOL03,2025-06,162,3564
CHEM015,MOL02,2025-06,136,5168
CHEM113,MOL01,2025-02,178,2136
CHEM133,MOL03,2025-02,18,396
CHEM131,MOL05,2025-06,69,552
CHEM044,MOL01,2025-03,71,852
CHEM001,MOL02,2025-01,80,3040
CHEM103,MOL03,2025-06,111,2442
CHEM104,MOL05,2025-02,142,1136
CHEM004,MOL01,2025-01,150,1800
CHEM073,MOL05,2025-05,99,792
CHEM089,MOL03,2025-02,165,3630
CHEM050,MOL04,2025-04,157,7065
CHEM002,MOL03,2025-02,114,2508
CHEM130,MOL01,2025-05,28,336
CHEM129,MOL03,2025-03,39,858
CHEM132,MOL03,2025-05,157,3454
CHEM065,MOL04,2025-04,154,6930
CHEM124,MOL02,2025-03,127,4826
CHEM118,MOL05,2025-01,133,1064
CHEM030,MOL03,2025-01,107,2354
CHEM057,MOL02,2025-03,115,4370
CHEM091,MOL05,2025-05,12,96
CHEM068,MOL02,2025-03,33,1254
CHEM103,MOL03,2025-01,151,3322
CHEM046,MOL04,2025-03,100,4500
CHEM056,MOL05,2025-03,56,448
CHEM049,MOL04,2025-06,61,2745
CHEM061,MOL02,2025-03,62,2356
CHEM059,MOL02,2025-02,168,6384
CHEM092,MOL02,2025-01,40,1520
CHEM021,MOL04,2025-05,11,495
CHEM139,MOL01,2025-04,105,1260
CHEM081,MOL04,2025-05,80,3600
CHEM126,MOL02,2025-05,81,3078
CHEM102,MOL02,2025-05,42,1596
CHEM014,MOL05,2025-04,132,1056
CHEM139,MOL01,2025-05,98,1176
CHEM101,MOL02,2025-04,40,1520
CHEM133,MOL04,2025-03,186,8370
CHEM003,MOL01,2025-06,63,756
CHEM098,MOL05,2025-01,93,744
CHEM093,MOL05,2025-03,57,456
CHEM141,MOL03,2025-02,78,1716
CHEM121,MOL05,2025-03,103,824
CHEM048,MOL04,2025-04,63,2835
CHEM108,MOL03,2025-03,112,2464
CHEM072,MOL04,2025-02,156,7020
CHEM034,MOL05,2025-06,68,544
CHEM026,MOL03,2025-02,152,3344
CHEM111,MOL04,2025-02,47,2115
CHEM039,MOL04,2025-01,55,2475
CHEM108,MOL04,2025-02,171,7695
CHEM133,MOL05,2025-06,90,720
CHEM125,MOL03,2025-03,153,3366
CHEM146,MOL01,2025-04,35,420
CHEM042,MOL01,2025-02,75,900
CHEM122,MOL01,2025-04,200,2400
CHEM086,MOL03,2025-03,102,2244
CHEM144,MOL05,2025-03,98,784
CHEM006,MOL04,2025-01,99,4455
CHEM051,MOL05,2025-05,176,1408
CHEM138,MOL02,2025-03,100,3800
CHEM084,MOL05,2025-04,198,1584
CHEM115,MOL01,2025-04,167,2004
CHEM074,MOL04,2025-06,47,2115
CHEM043,MOL03,2025-04,171,3762
CHEM147,MOL04,2025-01,30,1350
CHEM042,MOL03,2025-02,90,1980
CHEM082,MOL03,2025-06,78,1716
CHEM102,MOL03,2025-04,102,2244
CHEM134,MOL04,2025-04,52,2340
CHEM048,MOL01,2025-02,196,2352
CHEM061,MOL03,2025-06,189,4158
CHEM021,MOL02,2025-02,111,4218
CHEM027,MOL01,2025-01,131,1572
CHEM141,MOL01,2025-01,111,1332
CHEM135,MOL01,2025-01,77,924
CHEM040,MOL01,2025-06,109,1308
CHEM080,MOL02,2025-02,198,7524
CHEM073,MOL04,2025-06,42,1890
CHEM034,MOL05,2025-02,17,136
CHEM009,MOL03,2025-03,131,2882
CHEM120,MOL05,2025-03,150,1200
CHEM114,MOL02,2025-06,148,5624
CHEM046,MOL05,2025-05,126,1008
CHEM145,MOL04,2025-05,173,7785
CHEM137,MOL03,2025-03,133,2926
CHEM139,MOL02,2025-01,123,4674
CHEM079,MOL03,2025-04,76,1672
CHEM040,MOL03,2025-01,10,220
CHEM134,MOL02,2025-03,83,3154
CHEM121,MOL05,2025-01,186,1488
CHEM126,MOL04,2025-03,12,540
CHEM111,MOL03,2025-05,69,1518
CHEM002,MOL05,2025-03,58,464
CHEM106,MOL05,2025-04,111,888
CHEM064,MOL02,2025-06,198,7524
CHEM100,MOL04,2025-02,77,3465
CHEM021,MOL04,2025-06,71,3195
CHEM133,MOL05,2025-06,185,1480
CHEM070,MOL03,2025-06,200,4400
CHEM137,MOL03,2025-04,58,1276
CHEM018,MOL02,2025-02,84,3192
CHEM029,MOL04,2025-05,125,5625
CHEM070,MOL05,2025-04,58,464
CHEM083,MOL01,2025-02,22,264
CHEM137,MOL01,2025-02,36,432
CHEM073,MOL03,2025-02,193,4246
CHEM113,MOL01,2025-02,33,396
CHEM039,MOL01,2025-04,65,780
CHEM088,MOL04,2025-03,137,6165
CHEM096,MOL04,2025-06,18,810
CHEM085,MOL01,2025-02,24,288
CHEM069,MOL04,2025-01,149,6705
CHEM121,MOL02,2025-02,74,2812
CHEM098,MOL01,2025-01,192,2304
CHEM064,MOL04,2025-04,73,3285
CHEM009,MOL02,2025-04,198,7524
CHEM025,MOL05,2025-06,63,504
CHEM122,MOL04,2025-06,89,4005
CHEM083,MOL02,2025-06,196,7448
CHEM011,MOL05,2025-05,41,328
