doctor_id,molecule_id,month,alert_type,priority
DOC028,MOL04,2025-03,New Prescriber,LOW
DOC042,MOL04,2025-03,New Prescriber,LOW
DOC037,MOL04,2025-03,New Prescriber,LOW
DOC045,MOL04,2025-03,New Prescriber,LOW
DOC046,MOL04,2025-03,New Prescriber,LOW
DOC029,MOL04,2025-04,New Prescriber,LOW
DOC048,MOL04,2025-05,New Prescriber,LOW
DOC033,MOL04,2025-06,New Prescriber,LOW
DOC024,MOL05,2025-01,New Prescriber,LOW
DOC004,MOL05,2025-01,New Prescriber,LOW
DOC046,MOL05,2025-01,New Prescriber,LOW
DOC008,MOL05,2025-01,New Prescriber,LOW
DOC019,MOL05,2025-01,New Prescriber,LOW
DOC032,MOL05,2025-01,New Prescriber,LOW
DOC035,MOL05,2025-01,New Prescriber,LOW
DOC038,MOL05,2025-01,New Prescriber,LOW
DOC002,MOL05,2025-01,New Prescriber,LOW
DOC023,MOL05,2025-01,New Prescriber,LOW
DOC039,MOL05,2025-01,New Prescriber,LOW
DOC020,MOL05,2025-01,New Prescriber,LOW
DOC016,MOL05,2025-01,New Prescriber,LOW
DOC003,MOL05,2025-01,New Prescriber,LOW
DOC012,MOL05,2025-01,New Prescriber,LOW
DOC044,MOL05,2025-01,New Prescriber,LOW
DOC033,MOL05,2025-01,New Prescriber,LOW
DOC018,MOL05,2025-01,New Prescriber,LOW
DOC045,MOL05,2025-01,New Prescriber,LOW
DOC017,MOL05,2025-01,New Prescriber,LOW
DOC029,MOL05,2025-01,New Prescriber,LOW
DOC013,MOL05,2025-01,New Prescriber,LOW
DOC005,MOL05,2025-01,New Prescriber,LOW
DOC036,MOL05,2025-01,New Prescriber,LOW
DOC047,MOL05,2025-01,New Prescriber,LOW
DOC007,MOL05,2025-01,New Prescriber,LOW
DOC048,MOL05,2025-01,New Prescriber,LOW
DOC037,MOL05,2025-01,New Prescriber,LOW
DOC027,MOL05,2025-01,New Prescriber,LOW
DOC030,MOL05,2025-01,New Prescriber,LOW
DOC021,MOL05,2025-01,New Prescriber,LOW
DOC022,MOL05,2025-02,New Prescriber,LOW
DOC043,MOL05,2025-02,New Prescriber,LOW
DOC006,MOL05,2025-02,New Prescriber,LOW
DOC034,MOL05,2025-02,New Prescriber,LOW
DOC015,MOL05,2025-02,New Prescriber,LOW
DOC014,MOL05,2025-02,New Prescriber,LOW
DOC031,MOL05,2025-03,New Prescriber,LOW
DOC010,MOL05,2025-03,New Prescriber,LOW
DOC049,MOL05,2025-03,New Prescriber,LOW
DOC025,MOL05,2025-03,New Prescriber,LOW
DOC011,MOL05,2025-04,New Prescriber,LOW
DOC042,MOL05,2025-04,New Prescriber,LOW
DOC050,MOL05,2025-05,New Prescriber,LOW
DOC028,MOL05,2025-06,New Prescriber,LOW
DOC009,MOL05,2025-06,New Prescriber,LOW
DOC026,MOL05,2025-06,New Prescriber,LOW
DOC005,MOL01,2025-03,Stock Complaint Overlap,HIGH
DOC005,MOL01,2025-03,Stock Complaint Overlap,HIGH
DOC050,MOL01,2025-04,Stock Complaint Overlap,HIGH
DOC050,MOL01,2025-04,Stock Complaint Overlap,HIGH
DOC028,MOL01,2025-04,Stock Complaint Overlap,HIGH
DOC028,MOL01,2025-04,Stock Complaint Overlap,HIGH
DOC032,MOL01,2025-05,Stock Complaint Overlap,HIGH
DOC032,MOL01,2025-05,Stock Complaint Overlap,HIGH
DOC032,MOL01,2025-05,Stock Complaint Overlap,HIGH
DOC032,MOL01,2025-05,Stock Complaint Overlap,HIGH
DOC016,MOL01,2025-05,Stock Complaint Overlap,HIGH
DOC016,MOL01,2025-05,Stock Complaint Overlap,HIGH
DOC016,MOL01,2025-05,Stock Complaint Overlap,HIGH
DOC016,MOL01,2025-05,Stock Complaint Overlap,HIGH
DOC043,MOL01,2025-05,Stock Complaint Overlap,HIGH
DOC043,MOL01,2025-05,Stock Complaint Overlap,HIGH
DOC043,MOL01,2025-05,Stock Complaint Overlap,HIGH
DOC043,MOL01,2025-05,Stock Complaint Overlap,HIGH
DOC029,MOL01,2025-05,Stock Complaint Overlap,HIGH
DOC029,MOL01,2025-05,Stock Complaint Overlap,HIGH
DOC029,MOL01,2025-05,Stock Complaint Overlap,HIGH
DOC029,MOL01,2025-05,Stock Complaint Overlap,HIGH
DOC022,MOL01,2025-05,Stock Complaint Overlap,HIGH
DOC022,MOL01,2025-05,Stock Complaint Overlap,HIGH
DOC022,MOL01,2025-05,Stock Complaint Overlap,HIGH
DOC022,MOL01,2025-05,Stock Complaint Overlap,HIGH
DOC035,MOL01,2025-05,Stock Complaint Overlap,HIGH
DOC035,MOL01,2025-05,Stock Complaint Overlap,HIGH
DOC035,MOL01,2025-05,Stock Complaint Overlap,HIGH
DOC035,MOL01,2025-05,Stock Complaint Overlap,HIGH
DOC017,MOL01,2025-06,Stock Complaint Overlap,HIGH
DOC017,MOL01,2025-06,Stock Complaint Overlap,HIGH
DOC020,MOL02,2025-03,Stock Complaint Overlap,HIGH
DOC020,MOL02,2025-03,Stock Complaint Overlap,HIGH
DOC046,MOL02,2025-04,Stock Complaint Overlap,HIGH
DOC047,MOL02,2025-04,Stock Complaint Overlap,HIGH
DOC007,MOL02,2025-04,Stock Complaint Overlap,HIGH
DOC046,MOL02,2025-05,Stock Complaint Overlap,HIGH
DOC046,MOL02,2025-05,Stock Complaint Overlap,HIGH
DOC046,MOL02,2025-05,Stock Complaint Overlap,HIGH
DOC046,MOL02,2025-05,Stock Complaint Overlap,HIGH
DOC036,MOL02,2025-05,Stock Complaint Overlap,HIGH
DOC036,MOL02,2025-05,Stock Complaint Overlap,HIGH
DOC036,MOL02,2025-05,Stock Complaint Overlap,HIGH
DOC036,MOL02,2025-05,Stock Complaint Overlap,HIGH
DOC039,MOL02,2025-06,Stock Complaint Overlap,HIGH
DOC039,MOL02,2025-06,Stock Complaint Overlap,HIGH
DOC013,MOL02,2025-06,Stock Complaint Overlap,HIGH
DOC013,MOL02,2025-06,Stock Complaint Overlap,HIGH
DOC009,MOL02,2025-06,Stock Complaint Overlap,HIGH
DOC009,MOL02,2025-06,Stock Complaint Overlap,HIGH
DOC016,MOL02,2025-06,Stock Complaint Overlap,HIGH
DOC016,MOL02,2025-06,Stock Complaint Overlap,HIGH
DOC037,MOL02,2025-06,Stock Complaint Overlap,HIGH
DOC037,MOL02,2025-06,Stock Complaint Overlap,HIGH
DOC021,MOL03,2025-03,Stock Complaint Overlap,HIGH
DOC020,MOL03,2025-03,Stock Complaint Overlap,HIGH
DOC037,MOL03,2025-04,Stock Complaint Overlap,HIGH
DOC037,MOL03,2025-04,Stock Complaint Overlap,HIGH
DOC021,MOL03,2025-04,Stock Complaint Overlap,HIGH
DOC021,MOL03,2025-04,Stock Complaint Overlap,HIGH
DOC011,MOL03,2025-04,Stock Complaint Overlap,HIGH
DOC011,MOL03,2025-04,Stock Complaint Overlap,HIGH
DOC028,MOL03,2025-04,Stock Complaint Overlap,HIGH
DOC028,MOL03,2025-04,Stock Complaint Overlap,HIGH
DOC009,MOL03,2025-05,Stock Complaint Overlap,HIGH
DOC009,MOL03,2025-05,Stock Complaint Overlap,HIGH
DOC009,MOL03,2025-05,Stock Complaint Overlap,HIGH
DOC046,MOL03,2025-05,Stock Complaint Overlap,HIGH
DOC046,MOL03,2025-05,Stock Complaint Overlap,HIGH
DOC046,MOL03,2025-05,Stock Complaint Overlap,HIGH
DOC027,MOL03,2025-05,Stock Complaint Overlap,HIGH
DOC027,MOL03,2025-05,Stock Complaint Overlap,HIGH
DOC027,MOL03,2025-05,Stock Complaint Overlap,HIGH
DOC015,MOL03,2025-05,Stock Complaint Overlap,HIGH
DOC015,MOL03,2025-05,Stock Complaint Overlap,HIGH
DOC015,MOL03,2025-05,Stock Complaint Overlap,HIGH
DOC048,MOL03,2025-05,Stock Complaint Overlap,HIGH
DOC048,MOL03,2025-05,Stock Complaint Overlap,HIGH
DOC048,MOL03,2025-05,Stock Complaint Overlap,HIGH
DOC010,MOL03,2025-05,Stock Complaint Overlap,HIGH
DOC010,MOL03,2025-05,Stock Complaint Overlap,HIGH
DOC010,MOL03,2025-05,Stock Complaint Overlap,HIGH
DOC040,MOL03,2025-06,Stock Complaint Overlap,HIGH
DOC029,MOL03,2025-06,Stock Complaint Overlap,HIGH
DOC025,MOL04,2025-04,Stock Complaint Overlap,HIGH
DOC025,MOL04,2025-04,Stock Complaint Overlap,HIGH
DOC038,MOL04,2025-04,Stock Complaint Overlap,HIGH
DOC038,MOL04,2025-04,Stock Complaint Overlap,HIGH
DOC039,MOL04,2025-04,Stock Complaint Overlap,HIGH
DOC039,MOL04,2025-04,Stock Complaint Overlap,HIGH
DOC044,MOL04,2025-04,Stock Complaint Overlap,HIGH
DOC044,MOL04,2025-04,Stock Complaint Overlap,HIGH
DOC049,MOL04,2025-06,Stock Complaint Overlap,HIGH
DOC049,MOL04,2025-06,Stock Complaint Overlap,HIGH
DOC049,MOL04,2025-06,Stock Complaint Overlap,HIGH
DOC049,MOL04,2025-06,Stock Complaint Overlap,HIGH
DOC049,MOL04,2025-06,Stock Complaint Overlap,HIGH
DOC008,MOL04,2025-06,Stock Complaint Overlap,HIGH
DOC008,MOL04,2025-06,Stock Complaint Overlap,HIGH
DOC008,MOL04,2025-06,Stock Complaint Overlap,HIGH
DOC008,MOL04,2025-06,Stock Complaint Overlap,HIGH
DOC008,MOL04,2025-06,Stock Complaint Overlap,HIGH
DOC045,MOL04,2025-06,Stock Complaint Overlap,HIGH
DOC045,MOL04,2025-06,Stock Complaint Overlap,HIGH
DOC045,MOL04,2025-06,Stock Complaint Overlap,HIGH
DOC045,MOL04,2025-06,Stock Complaint Overlap,HIGH
DOC045,MOL04,2025-06,Stock Complaint Overlap,HIGH
DOC037,MOL04,2025-06,Stock Complaint Overlap,HIGH
DOC037,MOL04,2025-06,Stock Complaint Overlap,HIGH
DOC037,MOL04,2025-06,Stock Complaint Overlap,HIGH
DOC037,MOL04,2025-06,Stock Complaint Overlap,HIGH
DOC037,MOL04,2025-06,Stock Complaint Overlap,HIGH
DOC004,MOL05,2025-03,Stock Complaint Overlap,HIGH
DOC004,MOL05,2025-03,Stock Complaint Overlap,HIGH
DOC004,MOL05,2025-03,Stock Complaint Overlap,HIGH
DOC004,MOL05,2025-03,Stock Complaint Overlap,HIGH
DOC024,MOL05,2025-03,Stock Complaint Overlap,HIGH
DOC024,MOL05,2025-03,Stock Complaint Overlap,HIGH
DOC024,MOL05,2025-03,Stock Complaint Overlap,HIGH
DOC024,MOL05,2025-03,Stock Complaint Overlap,HIGH
DOC018,MOL05,2025-03,Stock Complaint Overlap,HIGH
DOC018,MOL05,2025-03,Stock Complaint Overlap,HIGH
DOC018,MOL05,2025-03,Stock Complaint Overlap,HIGH
DOC018,MOL05,2025-03,Stock Complaint Overlap,HIGH
DOC012,MOL05,2025-03,Stock Complaint Overlap,HIGH
DOC012,MOL05,2025-03,Stock Complaint Overlap,HIGH
DOC012,MOL05,2025-03,Stock Complaint Overlap,HIGH
DOC012,MOL05,2025-03,Stock Complaint Overlap,HIGH
DOC005,MOL05,2025-03,Stock Complaint Overlap,HIGH
DOC005,MOL05,2025-03,Stock Complaint Overlap,HIGH
DOC005,MOL05,2025-03,Stock Complaint Overlap,HIGH
DOC005,MOL05,2025-03,Stock Complaint Overlap,HIGH
DOC046,MOL05,2025-03,Stock Complaint Overlap,HIGH
DOC046,MOL05,2025-03,Stock Complaint Overlap,HIGH
DOC046,MOL05,2025-03,Stock Complaint Overlap,HIGH
DOC046,MOL05,2025-03,Stock Complaint Overlap,HIGH
DOC045,MOL05,2025-04,Stock Complaint Overlap,HIGH
DOC045,MOL05,2025-04,Stock Complaint Overlap,HIGH
DOC008,MOL05,2025-06,Stock Complaint Overlap,HIGH
DOC008,MOL05,2025-06,Stock Complaint Overlap,HIGH
DOC008,MOL05,2025-06,Stock Complaint Overlap,HIGH
DOC008,MOL05,2025-06,Stock Complaint Overlap,HIGH
DOC048,MOL05,2025-06,Stock Complaint Overlap,HIGH
DOC048,MOL05,2025-06,Stock Complaint Overlap,HIGH
DOC048,MOL05,2025-06,Stock Complaint Overlap,HIGH
DOC048,MOL05,2025-06,Stock Complaint Overlap,HIGH
DOC036,MOL05,2025-06,Stock Complaint Overlap,HIGH
DOC036,MOL05,2025-06,Stock Complaint Overlap,HIGH
DOC036,MOL05,2025-06,Stock Complaint Overlap,HIGH
DOC036,MOL05,2025-06,Stock Complaint Overlap,HIGH
